정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
BSB216490101,동일스위트3차정문,35.335666,129.1667866,2024-10-28,16299.0,21,부산광역시,부산BIS
BSB216490202,솔마루공원,35.33444075,129.16524429,2024-10-28,,21,부산광역시,부산BIS
BSB216490302,모전마을,35.33702922,129.16375545,2024-10-28,,21,부산광역시,부산BIS
BSB216500101,LH7단지,35.33869393,129.16702694,2024-10-28,16295.0,21,부산광역시,부산BIS
BSB216510101,우성전기,35.14609549,128.86122859,2024-10-28,12430.0,21,부산광역시,부산BIS
BSB216510201,조선해양기자재회관,35.15028299,128.85996337,2024-10-28,12433.0,21,부산광역시,부산BIS
BSB216520101,DSK,35.15746029,128.86059864,2024-10-28,12437.0,21,부산광역시,부산BIS
BSB216530101,DSK,35.15763382,128.86044896,2024-10-28,12436.0,21,부산광역시,부산BIS
BSB216540101,탑동,35.1589362,128.86424808,2024-10-28,12439.0,21,부산광역시,부산BIS
BSB216550101,탑동,35.1590638,128.8644485,2024-10-28,12438.0,21,부산광역시,부산BIS
BSB216560101,강진산업,35.15330449,128.85921468,2024-10-28,12435.0,21,부산광역시,부산BIS
BSB216570101,강진산업,35.15330045,128.85947794,2024-10-28,12434.0,21,부산광역시,부산BIS
BSB216570201,조선해양기자재회관,35.15007044,128.8600134,2024-10-28,12432.0,21,부산광역시,부산BIS
BSB216580101,렛츠런파크관람대,35.15619254,128.86831139,2024-10-28,12445.0,21,부산광역시,부산BIS
BSB216590101,렛츠런파크관람대,35.15602137,128.86742963,2024-10-28,12446.0,21,부산광역시,부산BIS
BSB216600101,렛츠런파크에코랜드,35.15114053,128.87244773,2024-10-28,12444.0,21,부산광역시,부산BIS
BSB216600102,렛츠런파크정문,35.15156794,128.87685753,2024-10-28,12442.0,21,부산광역시,부산BIS
BSB216610101,렛츠런파크에코랜드,35.15136643,128.87240901,2024-10-28,12443.0,21,부산광역시,부산BIS
BSB216610102,렛츠런파크정문,35.15180727,128.87682463,2024-10-28,12441.0,21,부산광역시,부산BIS
BSB216620102,지사산단입구,35.13591756,128.85777973,2024-10-28,,21,부산광역시,부산BIS
BSB216620301,지사산단입구,35.13524821,128.85794004,2024-10-28,,21,부산광역시,부산BIS
BSB216640101,용당공영차고지,35.42630995,129.18273187,2024-10-28,,21,부산광역시,부산BIS
BSB216640201,편들마을,35.4250645,129.18134414,2024-10-28,52124.0,21,부산광역시,부산BIS
BSB216650101,용당공영차고지,35.42648105,129.18248878,2024-10-28,,21,부산광역시,부산BIS
BSB216660101,편들마을,35.42497367,129.18163343,2024-10-28,,21,부산광역시,부산BIS
BSB216670101,금강펜테리움아파트,35.10020121,128.92024351,2024-10-28,12458.0,21,부산광역시,부산BIS
BSB216670201,명지초교.명지중학교,35.10384125,128.92633565,2024-10-28,12473.0,21,부산광역시,부산BIS
BSB216670202,명지국제신도시입구,35.10431505,128.9220425,2024-10-28,12484.0,21,부산광역시,부산BIS
BSB216670301,금강펜테리움2차아파트.호반베르디움2차아파트,35.10321019,128.92067599,2024-10-28,12482.0,21,부산광역시,부산BIS
BSB216680101,에일린의뜰아파트,35.10003515,128.92048634,2024-10-28,12457.0,21,부산광역시,부산BIS
BSB216680201,더스퀘어,35.09838033,128.91865192,2024-10-28,,21,부산광역시,부산BIS
BSB216680301,호반베르디움아파트,35.09726358,128.9197442,2024-10-28,12476.0,21,부산광역시,부산BIS
BSB216680401,에밀린의뜰아파트,35.09921338,128.92039304,2024-10-28,,21,부산광역시,부산BIS
BSB216680601,국민은행명지국제신도시지점,35.09771586,128.92105968,2024-10-28,,21,부산광역시,부산BIS
BSB216690101,장산성당,35.20636623,129.12597368,2024-10-28,9315.0,21,부산광역시,부산BIS
BSB216690201,영진종합사회복지관,35.20568761,129.12638692,2024-10-28,,21,부산광역시,부산BIS
BSB216690301,신동아아파트,35.2064344,129.12773491,2024-10-28,,21,부산광역시,부산BIS
BSB216700101,신촌입구,35.20745455,129.12429473,2024-10-28,9313.0,21,부산광역시,부산BIS
BSB216720101,더스퀘어,35.09797999,128.91860692,2024-10-28,,21,부산광역시,부산BIS
BSB216720201,중흥프라디움,35.0987193,128.9154525,2024-10-28,12505.0,21,부산광역시,부산BIS
BSB216720202,중흥S클래스프라디움,35.09870399,128.91556726,2024-10-28,,21,부산광역시,부산BIS
BSB216720301,베르디움101동,35.10003867,128.91785133,2024-10-28,,21,부산광역시,부산BIS
BSB216730101,부산항국제여객터미널,35.11776084,129.04830513,2024-10-28,3179.0,21,부산광역시,부산BIS
BSB216740101,부산항국제여객터미널입구,35.11762546,129.04751755,2024-10-28,3180.0,21,부산광역시,부산BIS
BSB216760101,부산시민공원남문,35.16610657,129.05868273,2024-10-28,5351.0,21,부산광역시,부산BIS
BSB216760102,부산진중학교,35.16487731,129.0557162,2024-10-28,5352.0,21,부산광역시,부산BIS
BSB216770101,우성,35.22498524,129.11831978,2024-10-28,11262.0,21,부산광역시,부산BIS
BSB216770301,회동동,35.22601925,129.11754424,2024-10-28,,21,부산광역시,부산BIS
BSB216780101,삼한전자,35.22530146,129.11827309,2024-10-28,11263.0,21,부산광역시,부산BIS
BSB216790101,동영테크윈,35.22275352,129.11955759,2024-10-28,9363.0,21,부산광역시,부산BIS
BSB216810101,(주)오토닉스,35.22069785,129.11884526,2024-10-28,9365.0,21,부산광역시,부산BIS
BSB216810201,삼원에프에이,35.22238872,129.1195481,2024-10-28,9364.0,21,부산광역시,부산BIS
BSB216820101,(주)오토닉스,35.22056848,129.11902858,2024-10-28,9366.0,21,부산광역시,부산BIS
BSB216830101,장안산업단지입구,35.34076619,129.25898193,2024-10-28,16315.0,21,부산광역시,부산BIS
BSB216840101,신성전기,35.33707016,129.25834017,2024-10-28,16317.0,21,부산광역시,부산BIS
BSB216840201,장안산업단지입구,35.3406717,129.25921574,2024-10-28,16316.0,21,부산광역시,부산BIS
BSB216850101,신성전기,35.33800659,129.25861917,2024-10-28,16318.0,21,부산광역시,부산BIS
BSB216860101,유일고무,35.32914988,129.25988457,2024-10-28,16319.0,21,부산광역시,부산BIS
BSB216870101,삼풍공업,35.33017922,129.26626882,2024-10-28,16320.0,21,부산광역시,부산BIS
BSB216890101,한국산업단지공단동부산사무소,35.33256146,129.2641691,2024-10-28,16321.0,21,부산광역시,부산BIS
BSB216900101,아산이노텍,35.33635045,129.26417586,2024-10-28,16322.0,21,부산광역시,부산BIS
BSB216920101,한라정공,35.33665242,129.26056088,2024-10-28,16323.0,21,부산광역시,부산BIS
BSB216940101,명례산업단지입구,35.36719401,129.25483399,2024-10-28,16324.0,21,부산광역시,부산BIS
BSB216950101,명례산업단지입구,35.366936,129.25489832,2024-10-28,16325.0,21,부산광역시,부산BIS
BSB216960101,강림인슈,35.36932867,129.25367776,2024-10-28,16326.0,21,부산광역시,부산BIS
BSB216970101,에이앤티시스템,35.37425441,129.25361122,2024-10-28,16328.0,21,부산광역시,부산BIS
BSB216980101,강림인슈,35.3696528,129.25345025,2024-10-28,16327.0,21,부산광역시,부산BIS
BSB216990101,에이앤티시스템,35.37462642,129.25347306,2024-10-28,16329.0,21,부산광역시,부산BIS
BSB217000101,에스아이시스템,35.37691069,129.25636966,2024-10-28,16330.0,21,부산광역시,부산BIS
BSB217010101,도야마을,35.37604846,129.26079598,2024-10-28,16332.0,21,부산광역시,부산BIS
BSB217010201,에스아이시스템,35.3770559,129.25631321,2024-10-28,16331.0,21,부산광역시,부산BIS
BSB217020101,국립부산과학관,35.20298022,129.21355703,2024-10-28,16333.0,21,부산광역시,부산BIS
BSB217020202,오시리아역,35.19648705,129.209522,2024-10-28,16347.0,21,부산광역시,부산BIS
