도서관,시도,시군구,주소,이름,연간 이용자 수,위도,경도
3,부산광역시,남구,부산광역시 남구 용소로 78,부산예술회관,"7,905",35.130815621,129.102372660
4,부산광역시,동구,부산광역시 동구 자성로133번길 16,부산시민회관,"35,647",35.138915477,129.065329344
5,부산광역시,동구,부산광역시 동구 구청로 8,동구국민체육문예센터,"1,200",35.128952808,129.044742515
6,부산광역시,동래구,부산광역시 동래구 문화로 80,동래문화회관,"74,474",35.211772061,129.089583031
7,부산광역시,북구,부산광역시 북구 금곡대로46번길 50,북구문화예술회관,"27,692",35.213399124,129.005706118
8,부산광역시,사하구,부산광역시 사하구 낙동남로 1233번길 25,을숙도문화회관,"33,036",35.110080577,128.944870220
9,부산광역시,영도구,부산광역시 영도구 함지로 79번길 6,영도문화예술회관,"18,598",35.074707550,129.065294245
10,부산광역시,중구,부산광역시 중구 민주공원길 19,부산민주공원,"50,237",35.109676176,129.028074541
11,부산광역시,해운대구,부산광역시 해운대구 양운로97,해운대문화회관,"1,189",35.171179709,129.173987589
12,부산광역시,해운대구,부산광역시 해운대구 수영강변대로 120,영화의전당,"76,029",35.170980017,129.127154504
,,,,,,37.215170118,127.037841697
지방문화원,,,,,,37.215170118,127.037841697
1,부산광역시,중구,부산광역시 중구 복병산길 20,중구문화원,"4,977",35.103497659,129.033325586
2,부산광역시,서구,부산광역시 서구 까치고개로 197번길 46,서구문화원,"7,380",35.102011405,129.017613859
3,부산광역시,동구,부산광역시 동구 중앙대로 349번길 20,동구문화원,"5,400",35.127112559,129.046043139
4,부산광역시,영도구,부산광역시 영도구 함지로 79번길 6(동삼동 516-1 영도도서관 2층),영도문화원,"36,667",35.075572812,129.066494795
5,부산광역시,부산진구,부산광역시 부산진구시민공원로 19번길 28(부암동),부산진문화원,"5,400",,
6,부산광역시,동래구,부산광역시 동래구 문화로 80,동래문화원,"210,358",35.211772061,129.089583031
7,부산광역시,남구,"부산광역시 남구 신선로 566-2(용호동, 현장민원실) 3층",남구문화원,"31,680",35.130474733,129.112068953
8,부산광역시,북구,부산광역시 북구 금곡대로 46번길 50 북구문화빙상센터 2층,낙동문화원,"2,440",35.213399124,129.005706118
9,부산광역시,해운대구,부산광역시 해운대구 센텀중앙로 170(재송동) 해운대구문화복합센터 4층,해운대문화원,"35,395",35.182063980,129.121644910
10,부산광역시,사하구,부산광역시 사하구 낙동남로 1233번길 25(하단동) 을숙도문화회관 내,사하문화원,"2,130",35.110080577,128.944870220
11,부산광역시,금정구,부산광역시 금정구 중앙대로 1826번길 10-4,금정문화원,"35,033",35.247293906,129.093189559
12,부산광역시,강서구,부산광역시 강서구 낙동북로 477,강서문화원,"8,400",35.212230544,128.980583662
13,부산광역시,연제구,부산광역시 연제구 거제대로 180,연제문화원,"8,173",35.184286794,129.071201145
14,부산광역시,수영구,부산광역시 수영구 광안해변로 219(광안동),수영문화원,"7,800",35.153728367,129.118472907
15,부산광역시,사상구,부산광역시 사상구 가야대로 196번길 51 다누림센터 2층,사상문화원,"30,500",35.147381315,128.995020759
16,부산광역시,기장군,부산광역시 기장군 기장읍 청강로 74번길 35-6,기장문화원,"7,500",35.235242928,129.221738180
,,,,,,37.215170118,127.037841697
등록문학관,,,,,,37.215170118,127.037841697
1,부산광역시,동래구,부산광역시 동래구 금강로61번길 20-12,이주홍문학관,"4,500",35.215294961,129.076618558
2,부산광역시,금정구,부산광역시 금정구 팔송로 60-6,요산김정한문학관,"4,500",35.272359237,129.085683387
3,부산광역시,해운대구,부산광역시 해운대구 달맞이길 117번 나길 111,추리문학관,"5,000",35.161688210,129.183308964
,,,,,,37.215170118,127.037841697
문화의 집,,,,,,37.215170118,127.037841697
1,부산광역시,,부산광역시 중구 보수대로124번길 24-2 (보수동2가),중구 청소년문화의집,,35.105741298,129.022632569
2,부산광역시,,부산광역시 사하구 다대로 716-1,사하구 청소년문화의집,,35.049514392,128.963327172
3,부산광역시,,부산광역시 북구 만덕2로44번길 10,북구 청소년문화의집,,35.210178950,129.037205736
4,부산광역시,,부산광역시 서구 천마로 87,서구 청소년문화의집,,35.084497152,129.020557518
5,부산광역시,,부산광역시 해운대구 반송순환로 135,해운대 청소년문화의집,,35.222962091,129.152824807
6,부산광역시,,부산광역시 부산진구 범전로5번길 13,부산진구 부전청소년센터,,35.163535240,129.063023848
7,부산광역시,,부산광역시 부산진구 진남로328번길 62,부산진구 전포청소년센터,,35.155418275,129.074566609
8,부산광역시,,부산광역시 부산진구 가야대로 784,부산진구 가야청소년센터,,35.157367366,129.057308179
9,부산광역시,,부산광역시 수영구 수영로 521번길 77,수영구 청소년문화의집,,35.152938481,129.107459147
10,부산광역시,,부산 기장군 기장읍 차성로 417번길 11,기장 청소년센터,,35.255222266,129.215526819
